2024-02-24 08:38:56,861 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.014687477210705117, 'Round Trip Time (s)': 0.047782243629748984, 'End-to-End Delay (s)': 0.1251382827758789}
2024-02-24 08:38:56,861 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.02512167452396185, 'Round Trip Time (s)': 0.03734804631649225, 'End-to-End Delay (s)': 0.1251382827758789}
2024-02-24 08:38:56,861 [Thread-9 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.030482024370127654, 'Round Trip Time (s)': 0.03198769647032645, 'End-to-End Delay (s)': 0.1251382827758789}
2024-02-24 08:38:56,861 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.013915206670679688, 'Round Trip Time (s)': 0.04855451416977441, 'End-to-End Delay (s)': 0.1251382827758789}
2024-02-24 08:38:56,861 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.04766928245243627, 'Round Trip Time (s)': 0.014800438388017832, 'End-to-End Delay (s)': 0.1251382827758789}
2024-02-24 08:38:56,861 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1430.530959276211, 'Transmission Delay (s)': 0.0782926082611084, 'Propagation Delay (s)': 0.047286081208668194, 'Round Trip Time (s)': 0.015183639631785907, 'End-to-End Delay (s)': 0.1407623291015625}
2024-02-24 08:38:56,861 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.012347741074119392, 'Round Trip Time (s)': 0.05012197976633471, 'End-to-End Delay (s)': 0.1251382827758789}
2024-02-24 08:38:56,986 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.538302624658, 'Transmission Delay (s)': 0.06255102157592773, 'Propagation Delay (s)': 0.03661045515972346, 'Round Trip Time (s)': 0.025858073587835137, 'End-to-End Delay (s)': 0.12501955032348633}
2024-02-24 08:38:56,986 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.538302624658, 'Transmission Delay (s)': 0.06255102157592773, 'Propagation Delay (s)': 0.04628215412830292, 'Round Trip Time (s)': 0.01618637461925567, 'End-to-End Delay (s)': 0.12501955032348633}
2024-02-24 08:38:56,986 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.538302624658, 'Transmission Delay (s)': 0.06255102157592773, 'Propagation Delay (s)': 0.032115652538473524, 'Round Trip Time (s)': 0.03035287620908507, 'End-to-End Delay (s)': 0.12501955032348633}
2024-02-24 08:38:56,986 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.538302624658, 'Transmission Delay (s)': 0.06255102157592773, 'Propagation Delay (s)': 0.02980023452236949, 'Round Trip Time (s)': 0.032668294225189104, 'End-to-End Delay (s)': 0.12501955032348633}
2024-02-24 08:38:56,986 [Thread-9 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.538302624658, 'Transmission Delay (s)': 0.06255102157592773, 'Propagation Delay (s)': 0.03756672394467563, 'Round Trip Time (s)': 0.02490180480288296, 'End-to-End Delay (s)': 0.12501955032348633}
2024-02-24 08:38:56,986 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.538302624658, 'Transmission Delay (s)': 0.06255102157592773, 'Propagation Delay (s)': 0.015223264167247482, 'Round Trip Time (s)': 0.047245264580311114, 'End-to-End Delay (s)': 0.12501955032348633}
2024-02-24 08:38:56,986 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.538302624658, 'Transmission Delay (s)': 0.06255102157592773, 'Propagation Delay (s)': 0.015246012299133548, 'Round Trip Time (s)': 0.047222516448425046, 'End-to-End Delay (s)': 0.12501955032348633}
2024-02-24 08:38:57,111 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.020508047196, 'Transmission Delay (s)': 0.062499284744262695, 'Propagation Delay (s)': 0.025814876193631278, 'Round Trip Time (s)': 0.03663934743918122, 'End-to-End Delay (s)': 0.1249535083770752}
2024-02-24 08:38:57,111 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.020508047196, 'Transmission Delay (s)': 0.062499284744262695, 'Propagation Delay (s)': 0.02181574931449639, 'Round Trip Time (s)': 0.04063847431831611, 'End-to-End Delay (s)': 0.1249535083770752}
