2024-02-24 08:38:51,707 [MainThread] [INFO] Server listening on 0.0.0.0:12345
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6333)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6334)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6331)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6332)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6335)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6336)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6343)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6344)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6346)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6348)
2024-02-24 08:38:56,736 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6350)
2024-02-24 08:38:56,799 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6351)
2024-02-24 08:38:56,799 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6352)
2024-02-24 08:38:56,799 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6354)
2024-02-24 08:38:56,799 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6353)
2024-02-24 08:38:56,799 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6355)
2024-02-24 08:38:56,799 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6356)
2024-02-24 08:38:56,799 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6357)
2024-02-24 08:38:56,861 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6362)
2024-02-24 08:38:56,861 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6363)
2024-02-24 08:38:56,861 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6364)
2024-02-24 08:38:56,861 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6365)
2024-02-24 08:38:56,861 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6366)
2024-02-24 08:38:56,861 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6368)
2024-02-24 08:38:56,861 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6367)
2024-02-24 08:38:56,924 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6369)
2024-02-24 08:38:56,924 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6370)
2024-02-24 08:38:56,924 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6371)
2024-02-24 08:38:56,924 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6374)
2024-02-24 08:38:56,924 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6373)
2024-02-24 08:38:56,924 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6372)
2024-02-24 08:38:56,924 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6375)
2024-02-24 08:38:56,986 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6376)
2024-02-24 08:38:56,986 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6377)
2024-02-24 08:38:56,986 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6378)
2024-02-24 08:38:56,986 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6379)
2024-02-24 08:38:56,986 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6380)
2024-02-24 08:38:56,986 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6381)
2024-02-24 08:38:56,986 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6382)
2024-02-24 08:38:57,049 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6386)
2024-02-24 08:38:57,049 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6384)
2024-02-24 08:38:57,049 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6385)
2024-02-24 08:38:57,049 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6383)
2024-02-24 08:38:57,049 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6387)
2024-02-24 08:38:57,049 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6388)
2024-02-24 08:38:57,049 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6389)
2024-02-24 08:38:57,111 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6390)
2024-02-24 08:38:57,111 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6391)
2024-02-24 08:38:57,111 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6392)
2024-02-24 08:38:57,111 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6393)
2024-02-24 08:38:57,111 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6394)
2024-02-24 08:38:57,111 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6396)
2024-02-24 08:38:57,111 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6395)
2024-02-24 08:38:57,174 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6397)
2024-02-24 08:38:57,174 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6400)
2024-02-24 08:38:57,174 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6399)
2024-02-24 08:38:57,174 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6398)
2024-02-24 08:38:57,174 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6401)
2024-02-24 08:38:57,174 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6402)
2024-02-24 08:38:57,236 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6404)
2024-02-24 08:38:57,236 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6405)
2024-02-24 08:38:57,236 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6406)
2024-02-24 08:38:57,236 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6407)
2024-02-24 08:38:57,236 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6409)
2024-02-24 08:38:57,236 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6408)
2024-02-24 08:38:57,252 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6337)
2024-02-24 08:38:57,252 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6338)
2024-02-24 08:38:57,252 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6339)
2024-02-24 08:38:57,252 [MainThread] [INFO] Accepted connection from ('127.0.0.1', 6340)
